"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 17:30:00",25896,1.3505,-0.6225,0.18,26.34409,0,33.59592,2.526402
"2020-01-13 17:30:00.1",25897,3.50475,-0.30575,-1.67875,26.57547,0,33.59592,2.526402
"2020-01-13 17:30:00.2",25898,3.363,-0.2665,-1.252,26.13,0,33.59592,2.526402
"2020-01-13 17:30:00.3",25899,3.56525,-0.43625,-0.47375,26.48914,0,33.59592,2.526575
"2020-01-13 17:30:00.4",25900,3.648,0.80775,-0.618,26.51675,0,33.59425,2.526254
"2020-01-13 17:30:00.5",25901,3.86875,-0.12725,-1.2775,26.04199,0,33.59592,2.526489
"2020-01-13 17:30:00.6",25902,1.59325,0.3085,-1.07175,26.34927,0,33.59758,2.526724
"2020-01-13 17:30:00.7",25903,3.64775,-1.12925,-0.545,26.20596,0,33.59924,2.526784
"2020-01-13 17:30:00.8",25904,4.38775,-0.462,-1.178,26.16455,0,33.6009,2.527192
"2020-01-13 17:30:00.9",25905,2.26175,-0.646,-0.3375,26.35959,0,33.60255,2.527426
"2020-01-13 17:30:01",25906,3.46475,-0.05125,-1.4055,26.20422,0,33.59924,2.526958
"2020-01-13 17:30:01.1",25907,3.4,-0.4665,-0.376,26.7016,0,33.59924,2.526871
"2020-01-13 17:30:01.2",25908,2.38575,-1.1625,-0.1215,26.20422,0,33.59758,2.526724
"2020-01-13 17:30:01.3",25909,3.7065,-0.2945,-1.26275,26.47705,0,33.59425,2.52634
"2020-01-13 17:30:01.4",25910,3.12275,0.146,-0.73,26.4408,0,33.59425,2.526254
"2020-01-13 17:30:01.5",25911,2.64875,-0.4805,-0.6447501,26.4408,0,33.59425,2.526168
"2020-01-13 17:30:01.6",25912,4.6635,-0.6455,-1.534,26.38034,0,33.59592,2.526489
"2020-01-13 17:30:01.7",25913,4.4095,-0.8655,-1.33825,26.38205,0,33.59592,2.526489
"2020-01-13 17:30:01.8",25914,3.69725,-0.9275001,-0.8515,26.36307,0,33.59758,2.526724
"2020-01-13 17:30:01.9",25915,4.05775,0.0865,-1.21725,26.30609,0,33.59924,2.526871
"2020-01-13 17:30:02",25916,4.5545,-0.127,-0.5595,26.34579,0,33.59758,2.526724
"2020-01-13 17:30:02.1",25917,4.04675,-0.4585,-1.247,26.15765,0,33.59758,2.52681
"2020-01-13 17:30:02.2",25918,3.112,0.119,-0.642,26.46494,0,33.59425,2.526254
"2020-01-13 17:30:02.3",25919,4.226,-0.915,-0.74375,26.27155,0,33.59592,2.526316
"2020-01-13 17:30:02.4",25920,2.375,0.002,-0.37325,26.74997,0,33.59758,2.526465
"2020-01-13 17:30:02.5",25921,2.62375,0.25675,-1.5035,26.4028,0,33.59592,2.526316
"2020-01-13 17:30:02.6",25922,2.53575,-0.41825,-1.77525,26.66013,0,33.59592,2.526143
"2020-01-13 17:30:02.7",25923,3.615,-1.4855,0.113,26.17664,0,33.59924,2.526612
"2020-01-13 17:30:02.8",25924,3.89,-0.6497501,-1.92775,26.16281,0,33.59924,2.526525
"2020-01-13 17:30:02.9",25925,2.69825,-0.473,-0.044,26.37686,0,33.59924,2.526439
"2020-01-13 17:30:03",25926,3.08125,0.67475,-1.54075,26.34579,0,33.60255,2.526908
"2020-01-13 17:30:03.1",25927,3.5815,0.19425,-1.188,26.09549,0,33.6009,2.526674
"2020-01-13 17:30:03.2",25928,3.846,-0.417,-0.80625,25.89709,0,33.6009,2.526674
"2020-01-13 17:30:03.3",25929,2.8405,-0.4015,-0.6215,26.11279,0,33.59758,2.526206
"2020-01-13 17:30:03.4",25930,5.48825,-0.9925001,-0.103,26.45114,0,33.60255,2.526908
"2020-01-13 17:30:03.5",25931,3.26625,0.3575,-1.2035,26.14554,0,33.59924,2.526612
"2020-01-13 17:30:03.6",25932,3.7995,0.16625,-0.5085,26.36996,0,33.6009,2.526847
"2020-01-13 17:30:03.7",25933,2.2305,-0.479,-0.578,26.17145,0,33.60255,2.527081
"2020-01-13 17:30:03.8",25934,4.1625,0.53175,-1.05225,26.44937,0,33.6009,2.526847
"2020-01-13 17:30:03.9",25935,3.2275,0.34725,-1.32325,26.44421,0,33.6009,2.52676
"2020-01-13 17:30:04",25936,4.57475,-1.041,-0.8880001,26.34238,0,33.6009,2.526674
"2020-01-13 17:30:04.1",25937,4.50475,0.3995,-0.4325,26.2923,0,33.60588,2.527377
"2020-01-13 17:30:04.2",25938,5.60775,-0.477,-0.9120001,26.36133,0,33.6092,2.528019
"2020-01-13 17:30:04.3",25939,3.92125,-0.81625,0.387,26.64456,0,33.60255,2.526908
"2020-01-13 17:30:04.4",25940,4.25,-0.7820001,-1.237,26.43216,0,33.60588,2.527377
"2020-01-13 17:30:04.5",25941,3.702,0.231,-0.9275001,26.1904,0,33.60422,2.527143
"2020-01-13 17:30:04.6",25942,3.288,-0.60475,-1.56425,26.1214,0,33.60422,2.527229
"2020-01-13 17:30:04.7",25943,3.379,0.23075,-0.64825,26.21976,0,33.60422,2.527056
"2020-01-13 17:30:04.8",25944,3.71175,2.14,-1.14525,26.38034,0,33.60422,2.527229
"2020-01-13 17:30:04.9",25945,4.2525,-0.252,-1.0625,26.50641,0,33.60754,2.527611
"2020-01-13 17:30:05",25946,3.2305,0.0755,-1.194,26.31302,0,33.60754,2.527698
"2020-01-13 17:30:05.1",25947,3.53275,-0.317,-1.15425,26.26987,0,33.60754,2.527611
"2020-01-13 17:30:05.2",25948,1.58575,0.67375,-1.1535,26.31818,0,33.60422,2.527143
"2020-01-13 17:30:05.3",25949,1.0535,0.657,-0.1395,26.57376,0,33.60255,2.526908
"2020-01-13 17:30:05.4",25950,5.98875,-0.392,-1.02375,26.2146,0,33.60422,2.527056
"2020-01-13 17:30:05.5",25951,6.1305,0.48025,-0.9080001,26.10239,0,33.60255,2.526908
"2020-01-13 17:30:05.6",25952,4.08075,0.08225001,-0.57125,26.24911,0,33.60422,2.527143
"2020-01-13 17:30:05.7",25953,2.689,-0.72725,-0.7415,26.44769,0,33.60422,2.527056
"2020-01-13 17:30:05.8",25954,3.72875,0.1355,-1.3195,26.35959,0,33.60422,2.527056
"2020-01-13 17:30:05.9",25955,2.49425,-1.07325,-1.09325,26.16974,0,33.60255,2.526821
"2020-01-13 17:30:06",25956,2.754,-0.9932501,-0.09850001,26.08685,0,33.60255,2.526821
"2020-01-13 17:30:06.1",25957,3.28325,0.3515,-0.993,26.39243,0,33.6092,2.527846
"2020-01-13 17:30:06.2",25958,1.18875,-0.2295,-0.9,26.21286,0,33.60422,2.527143
"2020-01-13 17:30:06.3",25959,2.394,-0.43325,-0.6965,26.26465,0,33.6092,2.527933
"2020-01-13 17:30:06.4",25960,1.69225,0.978,-1.27475,26.25601,0,33.60754,2.527611
"2020-01-13 17:30:06.5",25961,4.6895,0.139,-1.197,25.99539,0,33.60255,2.527081
"2020-01-13 17:30:06.6",25962,3.81675,1.1385,-1.75125,26.52539,0,33.60422,2.527488
"2020-01-13 17:30:06.7",25963,5.2045,-0.12825,-1.1215,26.18008,0,33.60588,2.52781
"2020-01-13 17:30:06.8",25964,2.55025,-0.127,-0.84,26.22665,0,33.6009,2.527106
"2020-01-13 17:30:06.9",25965,2.0345,-0.715,-1.52175,26.35959,0,33.60255,2.52734
"2020-01-13 17:30:07",25966,1.9765,-1.41125,-0.9342501,26.34753,0,33.6009,2.527192
