"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 13:30:00",0,"NAN","NAN","NAN","NAN",61502,33.69487,2.542869
"2020-01-13 13:30:00.1",1,"NAN","NAN","NAN","NAN",61502,33.69487,2.543043
"2020-01-13 13:30:00.2",2,"NAN","NAN","NAN","NAN",61502,33.69487,2.543043
"2020-01-13 13:30:00.3",3,"NAN","NAN","NAN","NAN",61502,33.69653,2.543278
"2020-01-13 13:30:00.4",4,"NAN","NAN","NAN","NAN",61502,33.69653,2.543191
"2020-01-13 13:30:00.5",5,"NAN","NAN","NAN","NAN",61502,33.69487,2.542869
"2020-01-13 13:30:00.6",6,"NAN","NAN","NAN","NAN",61502,33.69321,2.542807
"2020-01-13 13:30:00.7",7,"NAN","NAN","NAN","NAN",61502,33.68989,2.542249
"2020-01-13 13:30:00.8",8,"NAN","NAN","NAN","NAN",61502,33.69321,2.542807
"2020-01-13 13:30:00.9",9,"NAN","NAN","NAN","NAN",61502,33.68989,2.542075
"2020-01-13 13:30:01",10,"NAN","NAN","NAN","NAN",61502,33.68989,2.542162
"2020-01-13 13:30:01.1",11,"NAN","NAN","NAN","NAN",61502,33.68822,2.5421
"2020-01-13 13:30:01.2",12,"NAN","NAN","NAN","NAN",61502,33.68491,2.541455
"2020-01-13 13:30:01.3",13,"NAN","NAN","NAN","NAN",61502,33.68822,2.541926
"2020-01-13 13:30:01.4",14,"NAN","NAN","NAN","NAN",61502,33.68989,2.542162
"2020-01-13 13:30:01.5",15,"NAN","NAN","NAN","NAN",61502,33.68822,2.541926
"2020-01-13 13:30:01.6",16,"NAN","NAN","NAN","NAN",61502,33.68656,2.54169
"2020-01-13 13:30:01.7",17,"NAN","NAN","NAN","NAN",61502,33.68989,2.542162
"2020-01-13 13:30:01.8",18,"NAN","NAN","NAN","NAN",61502,33.69154,2.542397
"2020-01-13 13:30:01.9",19,"NAN","NAN","NAN","NAN",61502,33.69321,2.542633
"2020-01-13 13:30:02",20,"NAN","NAN","NAN","NAN",61502,33.69154,2.542224
"2020-01-13 13:30:02.1",21,"NAN","NAN","NAN","NAN",61502,33.69487,2.542869
"2020-01-13 13:30:02.2",22,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:02.3",23,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:02.4",24,"NAN","NAN","NAN","NAN",61502,33.69487,2.542783
"2020-01-13 13:30:02.5",25,"NAN","NAN","NAN","NAN",61502,33.69154,2.542224
"2020-01-13 13:30:02.6",26,"NAN","NAN","NAN","NAN",61502,33.68989,2.542162
"2020-01-13 13:30:02.7",27,"NAN","NAN","NAN","NAN",61502,33.69154,2.542397
"2020-01-13 13:30:02.8",28,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:02.9",29,"NAN","NAN","NAN","NAN",61502,33.69154,2.54231
"2020-01-13 13:30:03",30,"NAN","NAN","NAN","NAN",61502,33.69321,2.542633
"2020-01-13 13:30:03.1",31,"NAN","NAN","NAN","NAN",61502,33.69321,2.542633
"2020-01-13 13:30:03.2",32,"NAN","NAN","NAN","NAN",61502,33.69321,2.542633
"2020-01-13 13:30:03.3",33,"NAN","NAN","NAN","NAN",61502,33.68822,2.541839
"2020-01-13 13:30:03.4",34,"NAN","NAN","NAN","NAN",61502,33.68822,2.541839
"2020-01-13 13:30:03.5",35,"NAN","NAN","NAN","NAN",61502,33.68656,2.541777
"2020-01-13 13:30:03.6",36,"NAN","NAN","NAN","NAN",61502,33.68324,2.541045
"2020-01-13 13:30:03.7",37,"NAN","NAN","NAN","NAN",61502,33.68324,2.541045
"2020-01-13 13:30:03.8",38,"NAN","NAN","NAN","NAN",61502,33.68324,2.541045
"2020-01-13 13:30:03.9",39,"NAN","NAN","NAN","NAN",61502,33.68159,2.540637
"2020-01-13 13:30:04",40,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:04.1",41,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:04.2",42,"NAN","NAN","NAN","NAN",61502,33.68491,2.541195
"2020-01-13 13:30:04.3",43,"NAN","NAN","NAN","NAN",61502,33.68656,2.541343
"2020-01-13 13:30:04.4",44,"NAN","NAN","NAN","NAN",61502,33.68491,2.541108
"2020-01-13 13:30:04.5",45,"NAN","NAN","NAN","NAN",61502,33.68656,2.541517
"2020-01-13 13:30:04.6",46,"NAN","NAN","NAN","NAN",61502,33.68491,2.541108
"2020-01-13 13:30:04.7",47,"NAN","NAN","NAN","NAN",61502,33.68822,2.541753
"2020-01-13 13:30:04.8",48,"NAN","NAN","NAN","NAN",61502,33.68656,2.541256
"2020-01-13 13:30:04.9",49,"NAN","NAN","NAN","NAN",61502,33.68822,2.541318
"2020-01-13 13:30:05",50,"NAN","NAN","NAN","NAN",61502,33.68989,2.541641
"2020-01-13 13:30:05.1",51,"NAN","NAN","NAN","NAN",61502,33.68656,2.541256
"2020-01-13 13:30:05.2",52,"NAN","NAN","NAN","NAN",61502,33.68656,2.541256
"2020-01-13 13:30:05.3",53,"NAN","NAN","NAN","NAN",61502,33.69154,2.541963
"2020-01-13 13:30:05.4",54,"NAN","NAN","NAN","NAN",61502,33.68989,2.541728
"2020-01-13 13:30:05.5",55,"NAN","NAN","NAN","NAN",61502,33.68822,2.541405
"2020-01-13 13:30:05.6",56,"NAN","NAN","NAN","NAN",61502,33.68822,2.541492
"2020-01-13 13:30:05.7",57,"NAN","NAN","NAN","NAN",61502,33.68656,2.541082
"2020-01-13 13:30:05.8",58,"NAN","NAN","NAN","NAN",61502,33.68656,2.540996
"2020-01-13 13:30:05.9",59,"NAN","NAN","NAN","NAN",61502,33.68159,2.54029
"2020-01-13 13:30:06",60,"NAN","NAN","NAN","NAN",61502,33.68656,2.540996
"2020-01-13 13:30:06.1",61,"NAN","NAN","NAN","NAN",61502,33.68989,2.541554
"2020-01-13 13:30:06.2",62,"NAN","NAN","NAN","NAN",61502,33.68989,2.541641
"2020-01-13 13:30:06.3",63,"NAN","NAN","NAN","NAN",61502,33.69154,2.541876
"2020-01-13 13:30:06.4",64,"NAN","NAN","NAN","NAN",61502,33.69487,2.542522
"2020-01-13 13:30:06.5",65,"NAN","NAN","NAN","NAN",61502,33.69321,2.542286
"2020-01-13 13:30:06.6",66,"NAN","NAN","NAN","NAN",61502,33.69487,2.542609
"2020-01-13 13:30:06.7",67,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:06.8",68,"NAN","NAN","NAN","NAN",61502,33.68989,2.541989
"2020-01-13 13:30:06.9",69,"NAN","NAN","NAN","NAN",61502,33.68822,2.541405
"2020-01-13 13:30:07",70,"NAN","NAN","NAN","NAN",61502,33.68822,2.541145
"2020-01-13 13:30:07.1",71,"NAN","NAN","NAN","NAN",61502,33.68989,2.54112
"2020-01-13 13:30:07.2",72,"NAN","NAN","NAN","NAN",61502,33.69487,2.54174
"2020-01-13 13:30:07.3",73,"NAN","NAN","NAN","NAN",61502,33.69819,2.542125
"2020-01-13 13:30:07.4",74,"NAN","NAN","NAN","NAN",61502,33.69653,2.542062
"2020-01-13 13:30:07.5",75,"NAN","NAN","NAN","NAN",61502,33.69653,2.542236
