"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-16 17:22:00",55800,10.048,-3.13325,2.0825,7.413696,0,35.72045,2.906906
"2020-01-16 17:22:00.1",55801,7.91375,-5.36025,1.97225,7.554077,0,35.72211,2.907269
"2020-01-16 17:22:00.2",55802,6.49275,-4.2995,2.07425,7.562439,0,35.72045,2.907003
"2020-01-16 17:22:00.3",55803,8.9595,-4.1455,1.44075,7.992188,0,35.72211,2.907366
"2020-01-16 17:22:00.4",55804,8.670501,-3.43675,1.6745,7.801514,0,35.71879,2.906834
"2020-01-16 17:22:00.5",55805,7.74325,-3.12825,1.50025,7.824951,0,35.71879,2.906737
"2020-01-16 17:22:00.6",55806,8.097751,-2.55425,2.2005,7.940338,0,35.72045,2.906906
"2020-01-16 17:22:00.7",55807,8.0725,-3.21575,2.68975,7.65274,0,35.71712,2.906374
"2020-01-16 17:22:00.8",55808,7.9985,-4.33175,0.4865,7.405334,0,35.71712,2.906471
"2020-01-16 17:22:00.9",55809,6.70325,-3.651,0.5785,7.498901,0,35.71546,2.906205
"2020-01-16 17:22:01",55810,6.0275,-3.72275,1.333,7.407013,0,35.71879,2.906737
"2020-01-16 17:22:01.1",55811,5.0905,-4.915,1.66775,7.346863,0,35.71546,2.906108
"2020-01-16 17:22:01.2",55812,6.54825,-4.87425,1.1125,7.527344,0,35.71546,2.905914
"2020-01-16 17:22:01.3",55813,7.0965,-4.521,1.14475,7.860046,0,35.71712,2.906276
"2020-01-16 17:22:01.4",55814,7.97675,-3.35825,1.94725,8.055786,0,35.71381,2.905649
"2020-01-16 17:22:01.5",55815,8.08125,-4.14,0.8200001,7.769714,0,35.71381,2.905746
"2020-01-16 17:22:01.6",55816,7.524251,-3.06225,1.1185,7.687836,0,35.71712,2.906471
"2020-01-16 17:22:01.7",55817,7.29775,-2.95325,1.50225,7.927002,0,35.71879,2.906445
"2020-01-16 17:22:01.8",55818,7.600501,-1.9665,1.34625,7.796509,0,35.71381,2.905746
"2020-01-16 17:22:01.9",55819,7.5635,-2.73875,1.8305,7.898499,0,35.71214,2.905481
"2020-01-16 17:22:02",55820,7.80575,-2.89,1.04275,7.572479,0,35.71381,2.905941
"2020-01-16 17:22:02.1",55821,7.72025,-2.321,1.36425,7.901855,0,35.71546,2.906108
"2020-01-16 17:22:02.2",55822,8.288501,-2.32925,1.218,7.813232,0,35.71546,2.906108
"2020-01-16 17:22:02.3",55823,8.727,-1.30675,1.5285,7.793152,0,35.71048,2.905312
"2020-01-16 17:22:02.4",55824,8.111751,-0.8235,1.509,7.776428,0,35.71712,2.906374
"2020-01-16 17:22:02.5",55825,8.2075,-0.88375,2.0455,7.911926,0,35.71381,2.905941
"2020-01-16 17:22:02.6",55826,7.08625,-1.21075,1.86075,7.677765,0,35.71381,2.905843
"2020-01-16 17:22:02.7",55827,8.337001,-0.9260001,-1.30275,7.736298,0,35.71712,2.906374
"2020-01-16 17:22:02.8",55828,5.72,-0.76425,-0.9522501,7.659393,0,35.71546,2.906302
"2020-01-16 17:22:02.9",55829,5.094,1.2005,-1.5115,7.554077,0,35.71546,2.906497
"2020-01-16 17:22:03",55830,5.7815,-0.696,-1.30875,7.462158,0,35.71546,2.906302
"2020-01-16 17:22:03.1",55831,5.728,-1.12925,-1.179,7.482208,0,35.71712,2.906568
"2020-01-16 17:22:03.2",55832,5.0745,-3.26175,0.6385,7.692841,0,35.71712,2.906471
"2020-01-16 17:22:03.3",55833,5.763,-2.70925,1.2865,7.88681,0,35.71546,2.906302
"2020-01-16 17:22:03.4",55834,5.15175,-3.16125,1.42775,7.861755,0,35.71214,2.905675
"2020-01-16 17:22:03.5",55835,6.07,-1.9255,-0.9705001,7.273315,0,35.71546,2.906302
"2020-01-16 17:22:03.6",55836,4.129,-1.696,-1.5345,7.174774,0,35.71712,2.906666
"2020-01-16 17:22:03.7",55837,6.932,-2.325,0.67575,7.64267,0,35.71712,2.906957
"2020-01-16 17:22:03.8",55838,5.853251,-2.05775,0.2085,7.674469,0,35.71712,2.90686
"2020-01-16 17:22:03.9",55839,5.5025,-2.49725,-1.109,7.712891,0,35.72045,2.907198
"2020-01-16 17:22:04",55840,5.14925,-2.1875,-1.96,7.599213,0,35.71879,2.907126
"2020-01-16 17:22:04.1",55841,4.949,-1.8685,1.18825,7.326813,0,35.71712,2.906763
"2020-01-16 17:22:04.2",55842,4.2985,-2.33175,0.9475001,7.49057,0,35.71381,2.906136
"2020-01-16 17:22:04.3",55843,4.869,-3.4945,0.55875,7.537384,0,35.71879,2.906932
"2020-01-16 17:22:04.4",55844,7.0575,-2.99225,-0.16825,7.850006,0,35.71879,2.906834
"2020-01-16 17:22:04.5",55845,5.67175,-3.19875,0.73975,7.726257,0,35.71879,2.906834
"2020-01-16 17:22:04.6",55846,5.80225,-3.15025,0.136,7.667725,0,35.71546,2.9064
"2020-01-16 17:22:04.7",55847,4.2685,-2.51375,0.0425,7.572479,0,35.71546,2.906302
"2020-01-16 17:22:04.8",55848,4.463,-2.7015,-0.82275,7.378601,0,35.71879,2.906834
"2020-01-16 17:22:04.9",55849,6.136,-4.08575,-0.8885,7.348511,0,35.71546,2.906205
"2020-01-16 17:22:05",55850,4.46325,-3.311,-0.46175,7.313446,0,35.71214,2.90587
"2020-01-16 17:22:05.1",55851,3.94475,-3.62175,-0.93725,7.300049,0,35.71214,2.905772
"2020-01-16 17:22:05.2",55852,3.97225,-2.691,-0.48025,7.286682,0,35.71546,2.906302
"2020-01-16 17:22:05.3",55853,3.86225,-3.48925,-0.30925,7.477203,0,35.71381,2.906038
"2020-01-16 17:22:05.4",55854,3.82625,-3.958,0.2325,7.679474,0,35.71381,2.905941
"2020-01-16 17:22:05.5",55855,4.23325,-4.0495,0.3065,7.547394,0,35.71214,2.905772
"2020-01-16 17:22:05.6",55856,3.77875,-2.94275,0.4645,7.532349,0,35.71712,2.906568
"2020-01-16 17:22:05.7",55857,3.92575,-2.72975,-0.502,7.412018,0,35.71381,2.905941
"2020-01-16 17:22:05.8",55858,3.86725,-2.47725,-0.649,7.467163,0,35.71214,2.905578
"2020-01-16 17:22:05.9",55859,3.46375,-3.35175,-0.277,7.40033,0,35.70882,2.905143
"2020-01-16 17:22:06",55860,4.1305,-2.937,-0.46925,7.281677,0,35.71048,2.905409
"2020-01-16 17:22:06.1",55861,4.6835,-2.563,0.075,7.545685,0,35.71214,2.905578
"2020-01-16 17:22:06.2",55862,5.45725,-4.26625,-0.08275001,7.751343,0,35.71214,2.905578
"2020-01-16 17:22:06.3",55863,5.063,-6.10825,-0.0235,7.737976,0,35.71214,2.905578
"2020-01-16 17:22:06.4",55864,3.72325,-4.8675,-0.86375,7.681152,0,35.70715,2.904683
"2020-01-16 17:22:06.5",55865,4.455,-2.23975,-0.98475,7.423706,0,35.71381,2.905746
"2020-01-16 17:22:06.6",55866,4.491,-0.37025,0.015,7.264954,0,35.71048,2.905215
"2020-01-16 17:22:06.7",55867,4.28,-0.8575,-0.14375,7.313446,0,35.71214,2.905578
"2020-01-16 17:22:06.8",55868,5.02925,-1.668,0.41825,7.293335,0,35.71214,2.905481
"2020-01-16 17:22:06.9",55869,4.4985,-1.30825,-0.24825,7.699493,0,35.71214,2.905481
"2020-01-16 17:22:07",55870,4.97125,-2.30025,-0.705,7.51059,0,35.71214,2.905384
